Harry Potter and the Prisoner of Azkaban,173760471,649978553.2,84990087,2179233,39,7782,198,90,1024,297,1055667778
Australia,152602019,151405570.6,8814454,801314,11,1695,147,108,15080,3212,58169544
After Earth,141005402,133218523,369619698,26401407,14,81848,5660,117,619,189,264486140
Dinosaur,187003923,136256359.6,13410199,1219109,11,2579,234,114,4903,1010,519574725
Night at the Museum: Secret of the Tomb,135582118,257650160.4,217696544,6803017,32,23166,715,99,401,183,373036883
Megamind,150802046,337560207.8,10546092,1757682,6,6585,944,103,3840,678,373394227
Harry Potter and the Philosopher's Stone,178343560,654071218.5,16181104,2022638,8,21550,2666,120,1648,379,1393185004
R.I.P.D.,141005402,170018088.6,85137415,7739765,11,25797,2235,119,15218,5191,66867473
Pirates of the Caribbean: The Curse of the Black Pearl,192179081,297411354.5,92200692,2426334,38,11886,312,59,41,4,899138963
The Hunger Games: Mockingjay - Part 1,133446966,258542937.2,1004963129,34653901,29,182558,6163,23,13,7,802923951
The Da Vinci Code,156573193,226518221.4,15900195,1060013,15,4396,287,120,2022,479,961760810
Rio 2,109960300,157325128.5,85701750,8570175,10,19654,1832,119,817,172,533989034
X2,150997849,234130276.7,4584062,654866,7,2650,342,96,413,37,559668791
Fast Five,140505782,302593311.4,672698089,29247743,23,84746,3669,17,9,3,703807711
Sherlock Holmes: A Game of Shadows,140505782,186540608.7,53178112,1661816,32,4815,150,71,525,153,376122739
Clash of the Titans,145001967,178943668.8,272404098,15133561,18,26772,1441,106,781,154,269950904
The Bourne Legacy,143120483,131620566.7,464431350,18577254,25,48546,1870,89,548,115,304486558
How the Grinch Stole Christmas,180403784,172525116.7,81911190,16382238,5,48378,8312,119,4715,1726,506218010
The Day After Tomorrow,167077376,146087900.8,64620348,2485398,26,6715,254,118,3457,1076,727484837
Mission: Impossible II,183337179,258692221.5,12983800,1298380,10,328,30,95,59,21,801386032
The Perfect Storm,176003692,177557028,51203460,4654860,11,6567,588,100,4083,1411,477786424
4: Rise of the Silver Surfer,158400896,189217770.3,5111799,730257,7,2090,281,11,30,9,352195574
Life of Pi,132111216,58212626.85,142109535,9473969,15,24758,1614,69,1952,457,670482656
Ghost Rider,134031527,143248675.8,22055540,2205554,10,7897,734,119,7493,1610,278710511
Jason Bourne,126338703,74923013.9,294340292,12797404,23,37697,1575,108,818,162,437431878
Charlie's Angels: Full Throttle,164724926,149852295,27814930,505726,55,887,16,108,159,51,355772605
Prometheus,143120483,125166777.4,632631996,35146222,18,56902,3009,120,10514,2962,443860813
Stuart Little 2,168513600,99689272.98,8236818,1372803,6,2300,382,61,800,155,238666943
Elysium,124735548,148652742.5,386139964,20323156,19,39751,2089,99,2653,472,310364497
The Chronicles of Riddick,140344996,172021870.4,20612020,1873820,11,3631,319,98,486,126,154744035
RoboCop,128109088,176517878.7,49993306,4544846,11,17349,1487,118,2755,1099,259088849
Speed Racer,140863402,132742372.1,5683698,631522,9,3304,357,112,11487,2590,110279335
How Do You Know,139201889,148460945.8,222047991,6728727,33,26822,803,119,1731,702,56456698
Knight and Day,135721841,167016670.1,104437920,3263685,32,9325,290,104,3230,862,303843422
Oblivion,130158833,141009910.4,184236338,8374379,22,25915,1162,83,889,154,310394728
Star Wars: Episode III - Revenge of the Sith,146071516,319427458.4,82693000,3307720,25,32594,1276,82,58,11,1098768042
Star Wars: Episode II - Attack of the Clones,168513600,447112580.4,46008671,2421509,19,10692,553,48,51,4,911937082
"Monsters, Inc.",164076075,510976736.7,26187840,6546960,4,4455,901,119,28968,8642,802997236
The Wolverine,130158833,258914269.1,124553560,7326680,17,20940,1207,116,3245,1004,450610610
The Croods,146428687,209273280.4,83258944,10407368,8,13883,1724,119,2069,1308,634718386
Astérix aux Jeux Olympiques,114158519,60425353.33,5383302,897217,6,654,98,55,690,149,156006218
Windtalkers,161492200,177787207,11757724,1068884,11,2815,237,99,1155,336,109011820
The Huntsman: Winter's War,121074591,191145092.1,401456088,16727337,24,52009,2107,116,3988,4872,173296865
Teenage Mutant Ninja Turtles,133446966,246075827.6,332745300,36971700,9,176149,18680,120,7245,1659,509447138
Gravity,113888979,81584684.57,165087036,18343004,9,41810,4276,114,17963,6101,777040321
Teenage Mutant Ninja Turtles: Out of the Shadows,142131041,231880669.3,82976064,6914672,12,43057,3489,85,323,171,258598321
Fantastic Four,127981107,133863730.6,89919513,29973171,3,114281,29764,115,17173,2843,179149655
Night at the Museum,137784410,247126612,90576320,4528816,20,17555,862,77,8311,1373,719586398
San Andreas,117316014,140556531.1,607174005,40478267,15,114343,7498,94,97,48,501782811
The Patriot,161336718,126395224.9,9614990,1373570,7,1083,136,54,391,107,315771659
Ocean's Twelve,147028091,242867887.7,18572820,928641,20,1564,78,116,779,211,484850899
