name, views1, likes1, dislikes1, views2, likes2, dislikes2, views3, likes3, dislikes3
Meet the Parents,547740,,,10540,19,0,5310,,
Hitch,1061749,,,59954,250,11,723115,4265,143
American Wedding,149623,269,12,20503,47,4,-1,237,62
Captain Phillips,1980492,6540,299,1308203,973,70,3612485,13842,847
Date Night,4634239,4451,198,7935028,317739,6525,5801,6,0
The Equalizer,10783258,17459,689,9294728,35800,1258,-1,3375,594
Maid in Manhattan,901618,,,1240827,1609,77,-1,383,69
The Pursuit of Happyness,2761964,12255,252,212182,2071,30,88900,2707,341
Flightplan,1441933,2698,137,24942,103,9,-1,,
Kill Bill: Vol. 1,1551838,4502,211,549169,1530,84,-1,1280,331
Kill Bill: Vol. 2,549169,1530,84,2522183,14089,671,-1,642,140
Shanghai Noon,61657,175,7,26787,56,3,25834,32,2
Mr. Popper's Penguins,575633,1440,82,316213,381,56,-1,642,136
The Forbidden Kingdom,261145,517,36,198826,,,-1,739,140
Free Birds,2294892,5717,469,361313,1148,132,-1,872,255
Paddington,4628595,8374,978,2591859,4912,607,2088556,3654,243
The Watch,897239,1765,93,67938,173,21,-1,341,83
The Hunted,428807,533,29,113707,159,25,-1,173,50
Stuck on You,14496,61,1,27190,42,7,11831,66,3
Semi-Pro,55406,152,6,39492,131,13,-1,235,97
The Pirates! In an Adventure with Scientists!,155479,677,24,398889,1121,26,-1,284,72
Changeling,638961,1432,60,78039,191,3,-1,180,33
The Phantom of the Opera,394001,2955,65,1385176,3852,111,300669,7164,59
Elizabeth: The Golden Age,1924664,5285,225,384601,1395,89,-1,,
Æon Flux,946029,1364,119,14285,49,2,-1,180,30
Gods and Generals,210532,532,24,240349,801,18,-1,72,5
Imagine That,1215257,1161,72,74618,,,4198,11,3
Muppets Most Wanted,3715808,7731,683,2324939,6303,802,-1,,
Thunderbirds,129456,358,46,119354,251,15,-1,179,40
Burlesque,1098492,3272,100,4389213,6492,362,260707,599,12
Un long dimanche de fiançailles,134958,232,5,10095,43,1,1181,1,1
D-Tox,112252,188,12,7318,46,6,144449,89,13
Blade II,1231483,2347,156,82650,107,8,-1,374,115
Seven Pounds,1247717,4205,136,244097,381,30,219480,368,8
Bullet to the Head,570555,1407,206,3948741,7621,470,-1,104,49
Elizabethtown,711867,,,61149,153,5,304336,747,29
You, Me and Dupree,203784,,,40816,40,28,227958,548,21
Gigli,713133,600,340,191606,135,59,3026936,15982,970
All the King's Men,92701,,,-1,25,5,5197,21,1
Shaft,9582688,70281,2049,871430,15741,419,-1,255,46
Moulin Rouge!,73553,437,6,213705,468,35,135093,358,119
Domestic Disturbance,107088,,,33899,81,8,-1,48,8
Black Mass,11792845,39267,1027,4315657,9489,834,1972752,8759,178
Flags of Our Fathers,383615,665,21,102937,,,556976,1390,266
Law Abiding Citizen,4452633,9138,322,325884,437,39,8705,27,1
Grindhouse,508425,775,70,16575,233,3,-1,463,84
Lucky You,107381,137,9,133156,271,46,89788,145,20
Catch Me If You Can,1240819,5347,169,3943166,60941,1841,-1,1184,237
Zero Dark Thirty,2045141,2454,205,834486,1652,150,85280,833,158
The Break-Up,525733,725,39,957431,22742,1096,36721,102,11
Mamma Mia!,530262,2104,100,2279598,4255,111,-1,2201,492
Valentine's Day,1427922,6121,134,20946,33,2,-1,528,195
The Dukes of Hazzard,250302,864,41,20399,90,1,3482298,16871,507
The Change-Up,840394,3033,93,2991529,5086,247,333416,629,81
From Paris with Love,303910,553,37,495487,439,208,66397,117,8
Bulletproof Monk,92734,153,9,8245,23,3,493,2,0
Me, Myself & Irene,391612103,3005114,91300,125024797,844194,18409,6619184,61670,2118
Barnyard,216859,428,55,71881,91,9,-1,1233,330
Deck the Halls,337533,523,53,27076,41,3,30325,,
The Twilight Saga: New Moon,6917107,13262,737,41716709,203225,33960,15483024,46306,3071
Shrek,4150887,3710,837,285576,430,33,-1,11516,3863
The Adjustment Bureau,5998203,10177,419,1254616,3060,119,39131,173,23
Ted,21740075,44582,2622,31093575,137847,7518,285836,1895,115
Anchorman 2: The Legend Continues,284994,962,55,6545852,14950,1593,-1,438,176
Mr. Deeds,843354,,,418650,242,28,-1,266,79
Super 8,665725,2110,100,9758940,9550,833,65959,111,9
Erin Brockovich,122405,232,15,18040,,,117765,113,22
How to Lose a Guy in 10 Days,1536373,4553,115,1710221,,,769139,1379,68
22 Jump Street,6415593,56560,2286,8614779,27000,974,3806050,30770,729
Yes Man,-1,5456,254,28604,78,5,-1,470,96
Central Intelligence,4948007,23630,554,14528999,71769,2346,255733,2260,86
Daddy's Home,6633105,20845,751,11480562,58165,3259,5667771,11886,558
